"SIPSN - Sistem Informasi Pengelolaan Sampah Nasional","","","","","","","","","","","","",""
"Tahun","Provinsi","Kabupaten/Kota","Timbulan Sampah Tahunan (ton/tahun)(A)","Pengurangan Sampah Tahunan (ton/tahun)(B)","%Pengurangan Sampah(B/A)","Penanganan Sampah Tahunan (ton/tahun)(C)","%Penanganan Sampah(C/A)","Sampah Terkelola Tahunan (ton/tahun)(B+C)","%Sampah Terkelola(B+C)/A","Daur ulang Sampah Tahunan (ton/tahun)(D)","Bahan baku Sampah Tahunan (ton/tahun)(E)","Recycling Rate(D+E)/A","P1/P2"
"2022","Aceh","Kab. Aceh Selatan","35,217.68","45.36","0.13","12,775.00","36.27","12,820.36","36.40","0.00","","0.00","P 2"
"2022","Aceh","Kab. Aceh Tenggara","33,332.97","0.00","0.00","10,406.88","31.22","10,406.88","31.22","","","0.00","P 2"
"2022","Aceh","Kab. Aceh Timur","63,195.95","3,610.21","5.71","17,550.61","27.77","21,160.82","33.48","857.75","","1.36","P 2"
"2022","Aceh","Kab. Aceh Barat","37,021.59","5,663.02","15.30","26,354.46","71.19","32,017.48","86.48","1,423.50","","3.85","P 2"
"2022","Aceh","Kab. Pidie","64,897.73","8,533.10","13.15","24,087.37","37.12","32,620.47","50.26","8,533.10","","13.15","P 2"
"2022","Aceh","Kab. Simeulue","16,280.89","989.70","6.08","6,142.95","37.73","7,132.65","43.81","989.70","","6.08","P 2"
"2022","Aceh","Kab. Aceh Singkil","19,261.34","180.31","0.94","1,686.30","8.75","1,866.61","9.69","180.31","","0.94","P 2"
"2022","Aceh","Kab. Aceh Barat Daya","28,348.09","3,083.48","10.88","5,475.00","19.31","8,558.48","30.19","1,164.35","","4.11","P 2"
"2022","Aceh","Kab. Gayo Lues","14,986.02","1,124.84","7.51","8,559.25","57.11","9,684.09","64.62","1,095.00","","7.31","P 2"
"2022","Aceh","Kab. Aceh Jaya","17,231.29","19.91","0.12","11,439.10","66.39","11,459.01","66.50","19.91","","0.12","P 2"
"2022","Aceh","Kab. Nagan Raya","25,315.38","1,949.91","7.70","10,895.25","43.04","12,845.16","50.74","1,638.49","","6.47","P 2"
"2022","Aceh","Kab. Aceh Tamiang","44,062.80","0.00","0.00","20,075.00","45.56","20,075.00","45.56","","","0.00","P 2"
"2022","Aceh","Kab. Bener Meriah","24,084.74","16.37","0.07","9,395.10","39.01","9,411.47","39.08","14.60","632.55","2.69","P 2"
"2022","Aceh","Kab. Pidie Jaya","29,029.44","3,116.73","10.74","4,015.00","13.83","7,131.73","24.57","","","0.00","P 2"
"2022","Aceh","Kota Banda Aceh","92,055.88","14,268.97","15.50","75,921.78","82.47","90,190.75","97.97","14,145.16","","15.37","P 2"
"2022","Aceh","Kota Sabang","6,308.37","26.28","0.42","5,971.40","94.66","5,997.68","95.07","","","0.00","P 2"
"2022","Aceh","Kota Langsa","34,470.24","4,679.47","13.58","25,087.91","72.78","29,767.38","86.36","428.74","4.02","1.26","P 2"
"2022","Aceh","Kota Subulussalam","13,529.97","","","9,125.00","67.44","9,125.00","67.44","","","0.00","P 2"
"2022","Sumatera Utara","Kab. Tapanuli Tengah","67,397.25","8,182.83","12.14","13,249.50","19.66","21,432.33","31.80","6,662.60","","9.89","P 2"
"2022","Sumatera Utara","Kab. Nias","21,272.35","","","2,756.82","12.96","2,756.82","12.96","","","0.00","P 2"
"2022","Sumatera Utara","Kab. Langkat","190,323.78","2,692.62","1.41","30,485.90","16.02","33,178.51","17.43","2,692.62","190.90","1.52","P 2"
"2022","Sumatera Utara","Kab. Deli Serdang","411,211.01","89,943.94","21.87","167,962.05","40.85","257,905.99","62.72","81,986.34","62.05","19.95","P 2"
"2022","Sumatera Utara","Kab. Simalungun","186,444.74","443.51","0.24","45,274.60","24.28","45,718.11","24.52","7.30","14.60","0.01","P 2"
"2022","Sumatera Utara","Kab. Asahan","172,564.99","40,106.00","23.24","24,820.00","14.38","64,926.00","37.62","0.00","0.00","0.00","P 2"
"2022","Sumatera Utara","Kab. Toba","35,059.00","4,405.66","12.57","14,092.65","40.20","18,498.31","52.76","279.39","","0.80","P 2"
"2022","Sumatera Utara","Kab. Humbang Hasundutan","21,653.73","1,532.46","7.08","12,559.65","58.00","14,092.11","65.08","802.46","624.15","6.59","P 2"
"2022","Sumatera Utara","Kota Medan","628,749.22","60,476.25","9.62","457,776.43","72.81","518,252.68","82.43","58,770.24","","9.35","P 2"
"2022","Sumatera Utara","Kota Pematang Siantar","88,121.44","20,250.60","22.98","63,794.70","72.39","84,045.30","95.37","15,342.15","","17.41","P 2"
"2022","Sumatera Utara","Kota Tebing Tinggi","45,488.20","8,254.31","18.15","30,977.55","68.10","39,231.86","86.25","7,950.30","","17.48","P 2"
"2022","Sumatera Utara","Kota Padangsidimpuan","59,065.98","6,679.50","11.31","38,325.00","64.89","45,004.50","76.19","6,679.50","","11.31","P 2"
"2022","Sumatera Barat","Kab. Pesisir Selatan","55,803.17","10,037.52","17.99","12,994.00","23.29","23,031.52","41.27","6,833.92","219.00","12.64","P 2"
"2022","Sumatera Barat","Kab. Solok","57,558.60","7,000.89","12.16","6,253.91","10.87","13,254.80","23.03","6,981.05","","12.13","P 2"
"2022","Sumatera Barat","Kab. Sijunjung","35,513.89","7,308.77","20.58","7,365.70","20.74","14,674.47","41.32","7,287.65","65.70","20.71","P 2"
"2022","Sumatera Barat","Kab. Tanah Datar","47,057.29","8,376.95","17.80","17,054.44","36.24","25,431.40","54.04","8,127.00","584.55","18.51","P 2"
"2022","Sumatera Barat","Kab. Padang Pariaman","79,593.54","4.59","0.01","5,058.90","6.36","5,063.49","6.36","0.90","","0.00","P 2"
"2022","Sumatera Barat","Kab. Agam","77,993.64","9,604.82","12.31","21,452.48","27.51","31,057.30","39.82","9,595.58","","12.30","P 2"
"2022","Sumatera Barat","Kab. Lima Puluh Kota","55,954.79","11,697.77","20.91","7,665.00","13.70","19,362.77","34.60","10,629.05","","19.00","P 2"
"2022","Sumatera Barat","Kab. Pasaman","44,253.04","10,974.72","24.80","15,497.90","35.02","26,472.62","59.82","2,387.95","","5.40","P 2"
"2022","Sumatera Barat","Kab. Dharmasraya","37,831.10","5,709.93","15.09","30,130.75","79.65","35,840.69","94.74","1,797.22","","4.75","P 2"
"2022","Sumatera Barat","Kab. Solok Selatan","26,988.68","7,248.64","26.86","4,394.60","16.28","11,643.24","43.14","7,227.00","","26.78","P 2"
"2022","Sumatera Barat","Kab. Pasaman Barat","63,876.75","3,588.44","5.62","18,067.50","28.28","21,655.94","33.90","3,431.49","","5.37","P 2"
"2022","Sumatera Barat","Kota Padang","234,973.13","49,826.51","21.21","170,473.25","72.55","220,299.76","93.76","24,352.67","18.25","10.37","P 2"
"2022","Sumatera Barat","Kota Solok","19,810.19","3,481.43","17.57","16,296.20","82.26","19,777.63","99.84","3,332.66","18.20","16.91","P 2"
"2022","Sumatera Barat","Kota Sawahlunto","6,882.56","1,701.03","24.72","5,069.85","73.66","6,770.88","98.38","1,392.58","29.20","20.66","P 2"
"2022","Sumatera Barat","Kota Padang Panjang","17,865.14","2,709.47","15.17","14,778.12","82.72","17,487.59","97.89","530.03","","2.97","P 2"
"2022","Sumatera Barat","Kota Bukittinggi","45,707.54","3,241.35","7.09","40,720.00","89.09","43,961.34","96.18","1,761.51","2,482.00","9.28","P 2"
"2022","Sumatera Barat","Kota Payakumbuh","36,608.81","5,771.84","15.77","30,678.24","83.80","36,450.08","99.57","5,362.58","62.04","14.82","P 2"
"2022","Sumatera Barat","Kota Pariaman","13,963.44","1,835.78","13.15","9,855.00","70.58","11,690.78","83.72","1,835.78","","13.15","P 2"
"2022","Riau","Kab. Indragiri Hulu","66,173.19","879.21","1.33","8,030.00","12.13","8,909.21","13.46","4.20","","0.01","P 2"
"2022","Riau","Kab. Bengkalis","95,585.50","9,164.13","9.59","67,626.59","70.75","76,790.73","80.34","8,622.03","48.36","9.07","P 2"
"2022","Riau","Kab. Rokan Hulu","132,613.76","25,055.16","18.89","21,640.85","16.32","46,696.01","35.21","6,821.21","","5.14","P 2"
"2022","Riau","Kab. Rokan Hilir","121,580.59","2,535.89","2.09","18,315.70","15.06","20,851.59","17.15","2,311.35","730.00","2.50","P 2"
"2022","Riau","Kab. Siak","68,135.72","7,348.88","10.79","41,990.27","61.63","49,339.16","72.41","4,677.16","59.08","6.95","P 2"
"2022","Riau","Kab. Kuantan Singingi","50,800.55","2,792.10","5.50","8,030.00","15.81","10,822.10","21.30","2,677.18","","5.27","P 2"
"2022","Riau","Kota Pekanbaru","356,503.31","21,876.37","6.14","243,954.15","68.43","265,830.52","74.57","21,343.89","652.45","6.17","P 2"
"2022","Riau","Kota Dumai","60,559.34","3,395.43","5.61","40,880.00","67.50","44,275.43","73.11","1,309.35","175.20","2.45","P 2"
"2022","Jambi","Kab. Merangin","73,778.36","17,474.99","23.69","35,828.40","48.56","53,303.39","72.25","5,811.23","20,604.25","35.80","P 2"
"2022","Jambi","Kab. Sarolangun","42,865.60","3,113.34","7.26","11,687.05","27.26","14,800.39","34.53","811.40","","1.89","P 2"
"2022","Jambi","Kab. Bungo","57,857.03","12,949.12","22.38","29,084.07","50.27","42,033.19","72.65","9,855.36","7,585.57","30.14","P 2"
"2022","Jambi","Kota Jambi","159,688.01","35,843.83","22.45","119,721.46","74.97","155,565.29","97.42","11,417.20","","7.15","P 2"
"2022","Jambi","Kota Sungai Penuh","18,295.44","3,098.70","16.94","13,140.00","71.82","16,238.70","88.76","2,295.70","","12.55","P 2"
"2022","Sumatera Selatan","Kab. Ogan Komering Ulu","55,556.50","12,076.37","21.74","20,805.00","37.45","32,881.37","59.19","11,223.02","","20.20","P 2"
"2022","Sumatera Selatan","Kab. Muara Enim","157,811.87","41,253.09","26.14","35,755.40","22.66","77,008.49","48.80","20,808.15","","13.19","P 2"
"2022","Sumatera Selatan","Kab. Lahat","98,406.85","8,172.63","8.30","24,312.37","24.71","32,485.01","33.01","8,172.63","32.94","8.34","P 2"
"2022","Sumatera Selatan","Kab. Musi Rawas","93,259.27","4,402.73","4.72","4,197.50","4.50","8,600.23","9.22","20.66","","0.02","P 2"
"2022","Sumatera Selatan","Kab. Musi Banyuasin","94,145.47","22,583.13","23.99","18,808.45","19.98","41,391.58","43.97","17,039.88","","18.10","P 2"
"2022","Sumatera Selatan","Kab. Banyuasin","211,235.90","10,536.40","4.99","65,700.00","31.10","76,236.40","36.09","572.32","","0.27","P 2"
"2022","Sumatera Selatan","Kab. Ogan Komering Ulu Timur","102,981.68","8,785.06","8.53","41,245.00","40.05","50,030.06","48.58","1,775.67","","1.72","P 2"
"2022","Sumatera Selatan","Kab. Penukal Abab Lematang Ilir","37,316.32","4,119.45","11.04","10,788.71","28.91","14,908.15","39.95","6.54","","0.02","P 2"
"2022","Sumatera Selatan","Kota Palembang","439,815.66","93,169.76","21.18","332,185.31","75.53","425,355.07","96.71","66,434.86","","15.11","P 2"
"2022","Sumatera Selatan","Kota Prabumulih","35,918.19","9,246.94","25.74","22,995.00","64.02","32,241.94","89.76","8,524.26","","23.73","P 2"
"2022","Bengkulu","Kab. Bengkulu Utara","69,207.72","16,955.22","24.50","15,643.90","22.60","32,599.12","47.10","3,334.27","496.40","5.54","P 2"
"2022","Bengkulu","Kab. Seluma","38,417.16","0.00","0.00","1,551.25","4.04","1,551.25","4.04","0.00","","0.00","P 2"
"2022","Bengkulu","Kab. Lebong","29,409.84","4,375.68","14.88","6,570.00","22.34","10,945.68","37.22","0.00","","0.00","P 2"
"2022","Lampung","Kab. Lampung Tengah","161,774.75","2,609.63","1.61","25,550.00","15.79","28,159.63","17.41","253.68","8,755.44","5.57","P 2"
"2022","Lampung","Kab. Tanggamus","133,452.35","3,938.19","2.95","10,298.84","7.72","14,237.03","10.67","3,705.07","","2.78","P 2"
"2022","Lampung","Kab. Way Kanan","70,086.13","2,261.12","3.23","6,323.02","9.02","8,584.15","12.25","560.84","249.42","1.16","P 2"
"2022","Lampung","Kab. Pringsewu","59,396.16","5,159.54","8.69","15,160.72","25.52","20,320.26","34.21","4,898.80","501.96","9.09","P 2"
"2022","Lampung","Kab. Tulang Bawang Barat","41,787.68","7,288.21","17.44","13,140.00","31.44","20,428.21","48.89","1,389.44","","3.33","P 2"
"2022","Lampung","Kota Bandar Lampung","287,057.55","24,330.60","8.48","171,623.00","59.79","195,953.60","68.26","","73.00","0.03","P 2"
"2022","Lampung","Kota Metro","38,125.71","6,222.44","16.32","28,618.81","75.06","34,841.25","91.39","5,807.18","696.31","17.06","P 2"
"2022","Kepulauan Bangka Belitung","Kab. Bangka","48,814.22","4,525.77","9.27","25,192.49","51.61","29,718.26","60.88","2,306.72","124.48","4.98","P 2"
"2022","Kepulauan Bangka Belitung","Kab. Belitung","26,864.58","4,301.06","16.01","15,370.88","57.22","19,671.94","73.23","4,295.95","10.95","16.03","P 2"
"2022","Kepulauan Bangka Belitung","Kab. Bangka Tengah","30,061.11","5,489.43","18.26","4,854.50","16.15","10,343.93","34.41","2,561.80","","8.52","P 2"
"2022","Kepulauan Bangka Belitung","Kab. Belitung Timur","18,585.22","1,380.20","7.43","11,942.80","64.26","13,323.00","71.69","1,380.20","","7.43","P 2"
"2022","Kepulauan Riau","Kab. Bintan","20,409.89","2,587.33","12.68","14,552.55","71.30","17,139.88","83.98","1,752.15","","8.58","P 2"
"2022","Kepulauan Riau","Kab. Karimun","68,008.22","10,088.70","14.83","28,105.00","41.33","38,193.70","56.16","9,128.59","","13.42","P 2"
"2022","Kepulauan Riau","Kab. Natuna","12,475.12","960.00","7.70","5,329.00","42.72","6,289.00","50.41","960.00","","7.70","P 2"
"2022","Kepulauan Riau","Kab. Lingga","10,376.55","2,664.61","25.68","5,412.59","52.16","8,077.20","77.84","1,744.77","120.09","17.97","P 2"
"2022","Kepulauan Riau","Kab. Kepulauan Anambas","4,818.00","287.30","5.96","46.36","0.96","333.65","6.93","120.82","","2.51","P 2"
"2022","Kepulauan Riau","Kota Batam","413,461.60","54,830.47","13.26","310,313.14","75.05","365,143.62","88.31","38,511.94","36.50","9.32","P 2"
"2022","Kepulauan Riau","Kota Tanjung Pinang","56,905.36","13,196.00","23.19","32,982.60","57.96","46,178.61","81.15","13,196.00","2,946.75","28.37","P 2"
"2022","DKI Jakarta","Kab. Adm. Kep. Seribu","6,531.08","1,720.40","26.34","4,781.56","73.21","6,501.95","99.55","1,553.01","413.60","30.11","P 2"
"2022","DKI Jakarta","Kota Adm. Jakarta Pusat","310,268.53","80,866.00","26.06","229,159.18","73.86","310,025.18","99.92","63,113.86","","20.34","P 2"
"2022","DKI Jakarta","Kota Adm. Jakarta Utara","499,480.75","129,974.24","26.02","367,265.50","73.53","497,239.74","99.55","87,190.73","0.31","17.46","P 2"
"2022","DKI Jakarta","Kota Adm. Jakarta Barat","738,547.77","192,393.37","26.05","544,162.67","73.68","736,556.04","99.73","67,771.81","430.70","9.23","P 2"
"2022","DKI Jakarta","Kota Adm. Jakarta Selatan","713,300.85","185,513.25","26.01","525,366.39","73.65","710,879.65","99.66","154,210.84","","21.62","P 2"
"2022","DKI Jakarta","Kota Adm. Jakarta Timur","844,252.43","221,801.48","26.27","622,330.48","73.71","844,131.96","99.99","192,251.10","","22.77","P 2"
"2022","Jawa Barat","Kab. Bandung","468,351.94","152,921.82","32.65","161,060.36","34.39","313,982.18","67.04","151,323.12","14,383.92","35.38","P 2"
"2022","Jawa Barat","Kab. Garut","405,969.55","40,053.06","9.87","81,483.33","20.07","121,536.39","29.94","39,465.93","","9.72","P 2"
"2022","Jawa Barat","Kab. Ciamis","209,758.49","80,939.77","38.59","83,813.49","39.96","164,753.26","78.54","76,362.66","29,720.49","50.57","P 2"
"2022","Jawa Barat","Kab. Kuningan","218,782.10","4,947.02","2.26","117,165.00","53.55","122,112.02","55.81","2,564.72","","1.17","P 2"
"2022","Jawa Barat","Kab. Sumedang","161,592.02","8,428.37","5.22","48,362.50","29.93","56,790.87","35.14","8,428.37","","5.22","P 2"
"2022","Jawa Barat","Kab. Indramayu","406,481.07","51,690.52","12.72","198,348.69","48.80","250,039.22","61.51","16,251.41","59.90","4.01","P 2"
"2022","Jawa Barat","Kab. Karawang","366,436.49","1,219.02","0.33","127,385.00","34.76","128,604.02","35.10","1,096.62","","0.30","P 2"
"2022","Jawa Barat","Kab. Bekasi","821,379.10","19,037.12","2.32","224,882.88","27.38","243,920.01","29.70","0.00","","0.00","P 2"
"2022","Jawa Barat","Kota Bogor","271,727.57","63,986.83","23.55","195,996.98","72.13","259,983.81","95.68","62,698.46","209.88","23.15","P 2"
"2022","Jawa Barat","Kota Sukabumi","65,828.41","17,181.01","26.10","48,553.03","73.76","65,734.04","99.86","14,003.53","1,468.03","23.50","P 2"
"2022","Jawa Barat","Kota Bandung","581,876.52","93,497.38","16.07","469,653.69","80.71","563,151.07","96.78","93,358.68","5,545.59","17.00","P 2"
"2022","Jawa Barat","Kota Bekasi","668,179.00","29,412.83","4.40","365,091.25","54.64","394,504.08","59.04","4,162.00","91.25","0.64","P 2"
"2022","Jawa Barat","Kota Cimahi","100,542.32","17,204.42","17.11","60,299.46","59.97","77,503.88","77.09","16,898.55","","16.81","P 2"
"2022","Jawa Barat","Kota Tasikmalaya","116,475.95","19,401.40","16.66","75,842.62","65.11","95,244.02","81.77","19,401.40","","16.66","P 2"
"2022","Jawa Barat","Kota Banjar","31,267.80","6,569.57","21.01","23,792.89","76.09","30,362.46","97.10","5,320.65","2,199.49","24.05","P 2"
"2022","Jawa Tengah","Kab. Cilacap","347,055.78","46,992.34","13.54","225,940.90","65.10","272,933.24","78.64","38,522.40","102,879.64","40.74","P 2"
"2022","Jawa Tengah","Kab. Banyumas","195,964.49","130,961.52","66.83","63,649.25","32.48","194,610.77","99.31","25,301.52","5,048.50","15.49","P 2"
"2022","Jawa Tengah","Kab. Purbalingga","186,120.80","2,607.25","1.40","40,880.00","21.96","43,487.25","23.37","","","0.00","P 2"
"2022","Jawa Tengah","Kab. Kebumen","169,013.40","44,237.55","26.17","102,269.35","60.51","146,506.90","86.68","32,789.78","2,737.50","21.02","P 2"
"2022","Jawa Tengah","Kab. Purworejo","105,694.22","27,553.63","26.07","24,356.82","23.04","51,910.45","49.11","25,671.40","1,000.47","25.23","P 2"
"2022","Jawa Tengah","Kab. Wonosobo","133,682.56","16,638.20","12.45","38,325.00","28.67","54,963.20","41.11","5,145.44","","3.85","P 2"
"2022","Jawa Tengah","Kab. Boyolali","106,781.29","29,914.85","28.02","30,571.31","28.63","60,486.16","56.64","29,877.18","458.81","28.41","P 2"
"2022","Jawa Tengah","Kab. Klaten","234,703.44","58,588.80","24.96","72,010.38","30.68","130,599.18","55.64","19,971.81","36,613.41","24.11","P 2"
"2022","Jawa Tengah","Kab. Sukoharjo","132,101.09","26,312.87","19.92","74,514.02","56.41","100,826.89","76.33","20,293.83","13.87","15.37","P 2"
"2022","Jawa Tengah","Kab. Wonogiri","126,917.85","46,929.15","36.98","18,336.14","14.45","65,265.30","51.42","46,880.24","33.95","36.96","P 2"
"2022","Jawa Tengah","Kab. Karanganyar","137,065.97","4,921.23","3.59","32,850.00","23.97","37,771.23","27.56","1,157.00","","0.84","P 2"
"2022","Jawa Tengah","Kab. Sragen","215,417.38","46,077.89","21.39","104,977.65","48.73","151,055.54","70.12","17,319.06","30,992.15","22.43","P 2"
"2022","Jawa Tengah","Kab. Grobogan","310,021.75","75,925.26","24.49","85,622.80","27.62","161,548.05","52.11","73,665.67","57,882.80","42.43","P 2"
"2022","Jawa Tengah","Kab. Blora","139,811.75","36,349.83","26.00","103,415.45","73.97","139,765.28","99.97","18,544.23","","13.26","P 2"
"2022","Jawa Tengah","Kab. Rembang","92,026.00","14,801.36","16.08","13,937.01","15.14","28,738.37","31.23","14,263.99","4.38","15.50","P 2"
"2022","Jawa Tengah","Kab. Kudus","163,578.95","37,913.44","23.18","68,334.09","41.77","106,247.54","64.95","36,728.75","21,219.89","35.43","P 2"
"2022","Jawa Tengah","Kab. Jepara","150,516.42","20,354.24","13.52","60,798.05","40.39","81,152.29","53.92","9,683.99","1,449.05","7.40","P 2"
"2022","Jawa Tengah","Kab. Demak","263,666.36","1,800.94","0.68","32,850.00","12.46","34,650.94","13.14","1,800.94","","0.68","P 2"
"2022","Jawa Tengah","Kab. Semarang","193,421.53","25,883.47","13.38","75,135.25","38.85","101,018.72","52.23","12,542.52","36.50","6.50","P 2"
"2022","Jawa Tengah","Kab. Temanggung","146,050.37","40,682.72","27.86","45,764.61","31.33","86,447.33","59.19","32,028.34","2,564.61","23.69","P 2"
"2022","Jawa Tengah","Kab. Kendal","149,652.92","754.57","0.50","59,696.30","39.89","60,450.86","40.39","586.18","46.61","0.42","P 2"
"2022","Jawa Tengah","Kab. Batang","207,055.41","8,601.88","4.15","41,975.00","20.27","50,576.88","24.43","8.16","","0.00","P 2"
"2022","Jawa Tengah","Kab. Pekalongan","142,569.58","15,338.30","10.76","51,100.00","35.84","66,438.30","46.60","5,713.20","","4.01","P 2"
"2022","Jawa Tengah","Kab. Pemalang","216,694.51","56,081.45","25.88","128,936.62","59.50","185,018.06","85.38","56,081.45","8,486.62","29.80","P 2"
"2022","Jawa Tengah","Kab. Tegal","306,466.23","46,706.34","15.24","131,765.00","42.99","178,471.34","58.24","44,365.86","","14.48","P 2"
"2022","Jawa Tengah","Kab. Brebes","366,937.60","2,385.77","0.65","48,577.85","13.24","50,963.62","13.89","6.99","","0.00","P 2"
"2022","Jawa Tengah","Kota Magelang","29,384.62","5,758.03","19.60","22,019.29","74.93","27,777.31","94.53","5,745.91","117.71","19.95","P 2"
"2022","Jawa Tengah","Kota Surakarta","137,345.45","18,262.64","13.30","116,991.99","85.18","135,254.63","98.48","11,795.34","","8.59","P 2"
"2022","Jawa Tengah","Kota Salatiga","41,668.28","7,878.27","18.91","32,306.52","77.53","40,184.80","96.44","7,675.51","3,000.67","25.62","P 2"
"2022","Jawa Tengah","Kota Semarang","431,085.22","112,850.45","26.18","314,187.98","72.88","427,038.43","99.06","60,774.61","297.48","14.17","P 2"
"2022","Jawa Tengah","Kota Tegal","79,365.97","21,059.41","26.53","57,421.80","72.35","78,481.21","98.89","9,551.16","3,328.80","16.23","P 2"
"2022","D.I. Yogyakarta","Kab. Kulon Progo","64,730.71","17,612.65","27.21","11,680.00","18.04","29,292.65","45.25","17,507.93","","27.05","P 2"
"2022","D.I. Yogyakarta","Kab. Gunungkidul","137,871.89","29,401.68","21.33","18,363.88","13.32","47,765.56","34.64","28,917.04","77.38","21.03","P 2"
"2022","D.I. Yogyakarta","Kota Yogyakarta","110,642.60","12,384.62","11.19","97,699.18","88.30","110,083.80","99.49","12,384.62","612.83","11.75","P 2"
"2022","Jawa Timur","Kab. Pacitan","104,999.96","12,210.47","11.63","14,256.53","13.58","26,467.00","25.21","12,193.65","499.69","12.09","P 2"
"2022","Jawa Timur","Kab. Ponorogo","139,552.64","29,879.29","21.41","85,038.07","60.94","114,917.35","82.35","27,603.92","1,088.07","20.56","P 2"
"2022","Jawa Timur","Kab. Trenggalek","111,498.74","18,521.47","16.61","57,305.00","51.40","75,826.47","68.01","15,478.20","","13.88","P 2"
"2022","Jawa Timur","Kab. Tulungagung","202,148.86","35,146.74","17.39","54,677.00","27.05","89,823.74","44.43","34,743.54","12,702.00","23.47","P 2"
"2022","Jawa Timur","Kab. Kediri","240,082.40","16,821.08","7.01","45,907.26","19.12","62,728.34","26.13","15,221.48","1,550.63","6.99","P 2"
"2022","Jawa Timur","Kab. Malang","350,614.09","34,732.75","9.91","145,007.20","41.36","179,739.95","51.26","34,391.22","","9.81","P 2"
